query_index,query_image_id_metadata,predicted_candidate_index,predicted_candidate_image_id,predicted_candidate_concept,topk_candidate_image_ids,nearest_train_index,nearest_train_image_id,nearest_train_concept,score,output,source,source_kind,selection_note,prompt,leakage_policy
38,cheetah_05s,38,cheetah_05s,cheetah,cheetah_05s;gopher_09s;beaver_04s;lamb_01b;possum_05s,4969,face_10s,face,0.16084250807762146,recons/experiments/diffusion_prompt/038.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cheetah, gopher, beaver, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
39,chest2_02s,39,chest2_02s,chest2,chest2_02s;rug_09s;nightstand_05s;tape_recorder_01b;purse_06s,10954,power_line_05s,power_line,0.1408354789018631,recons/experiments/diffusion_prompt/039.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of chest2, rug, nightstand, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
40,chime_08s,40,chime_08s,chime,chime_08s;treadmill_11s;baseball_bat_10s;chopsticks_11s;bush_07s,8508,mailbox_09s,mailbox,0.14416635036468506,recons/experiments/diffusion_prompt/040.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of chime, treadmill, baseball bat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
41,chopsticks_11s,41,chopsticks_11s,chopsticks,chopsticks_11s;pickax_05s;baseball_bat_10s;bullet_01s;backscratcher_01b,1351,boar_02s,boar,0.12568363547325134,recons/experiments/diffusion_prompt/041.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of chopsticks, pickax, baseball bat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
42,cleat_09s,42,cleat_09s,cleat,cleat_09s;pear_01b;scallion_04s;glove_11s;basil_05s,6001,goalpost_02s,goalpost,0.14452700316905975,recons/experiments/diffusion_prompt/042.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cleat, pear, scallion, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
43,cleaver_07s,43,cleaver_07s,cleaver,cleaver_07s;egg_12s;espresso_01b;dreidel_01b;chain_01b,11980,sandbag_01b,sandbag,0.13406109809875488,recons/experiments/diffusion_prompt/043.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cleaver, egg, espresso, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
44,coat_01b,44,coat_01b,coat,coat_01b;pajamas_13s;coverall_06s;hoodie_08s;suit_13s,5769,gargoyle_10s,gargoyle,0.15896166861057281,recons/experiments/diffusion_prompt/044.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of coat, pajamas, coverall, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
45,cobra_01b,45,cobra_01b,cobra,cobra_01b;antelope_01b;pheasant_20s;lightning_bug_11s;turkey_01s,5128,filter_09s,filter,0.1337607353925705,recons/experiments/diffusion_prompt/045.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cobra, antelope, pheasant, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
46,coconut_01b,37,cheese_06s,cheese,cheese_06s;coconut_01b;bun_01b;creme_brulee_01b;espresso_01b,9670,paddle_01s,paddle,0.12799502909183502,recons/experiments/diffusion_prompt/046.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cheese, coconut, bun, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
47,coffee_bean_01b,47,coffee_bean_01b,coffee_bean,coffee_bean_01b;jelly_bean_06s;mussel_11s;cashew_01b;croissant_06s,9050,moss_01b,moss,0.13132506608963013,recons/experiments/diffusion_prompt/047.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of coffee bean, jelly bean, mussel, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
48,coffeemaker_13s,48,coffeemaker_13s,coffeemaker,coffeemaker_13s;treadmill_11s;tape_recorder_01b;music_box_06s;nightstand_05s,2932,chipmunk_03n,chipmunk,0.1349259912967682,recons/experiments/diffusion_prompt/048.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of coffeemaker, treadmill, tape recorder, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
49,cookie_09s,112,meatloaf_12s,meatloaf,meatloaf_12s;cookie_09s;tomato_sauce_02s;croissant_06s;crepe_18s,8108,leotard_09s,leotard,0.15450967848300934,recons/experiments/diffusion_prompt/049.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of meatloaf, cookie, tomato sauce, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
50,cordon_bleu_08s,50,cordon_bleu_08s,cordon_bleu,cordon_bleu_08s;crepe_18s;croissant_06s;meatloaf_12s;pie_18s,6543,handkerchief_04s,handkerchief,0.13443830609321594,recons/experiments/diffusion_prompt/050.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cordon bleu, crepe, croissant, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
51,coverall_06s,51,coverall_06s,coverall,coverall_06s;pajamas_13s;coat_01b;suit_13s;chaps_18s,5324,flamethrower_05s,flamethrower,0.14084652066230774,recons/experiments/diffusion_prompt/051.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of coverall, pajamas, coat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
52,crab_17s,52,crab_17s,crab,crab_17s;grasshopper_06s;flamingo_05s;rhinoceros_09s;mosquito_02s,14184,sweeper_05s,sweeper,0.1391730010509491,recons/experiments/diffusion_prompt/052.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of crab, grasshopper, flamingo, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
53,creme_brulee_01b,53,creme_brulee_01b,creme_brulee,creme_brulee_01b;cheese_06s;meatloaf_12s;crumb_12s;bread_19s,7528,jug_09s,jug,0.1426306664943695,recons/experiments/diffusion_prompt/053.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of creme brulee, cheese, meatloaf, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
54,crepe_18s,54,crepe_18s,crepe,crepe_18s;calamari_01b;omelet_10s;meatloaf_12s;pie_18s,3452,computer_03n,computer,0.13127464056015015,recons/experiments/diffusion_prompt/054.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of crepe, calamari, omelet, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
55,crib_14n,55,crib_14n,crib,crib_14n;laundry_basket_12s;highchair_04s;freezer_04s;breadbox_01b,5161,fire_alarm_02s,fire_alarm,0.13698136806488037,recons/experiments/diffusion_prompt/055.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of crib, laundry basket, highchair, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
56,croissant_06s,56,croissant_06s,croissant,croissant_06s;meatloaf_12s;cookie_09s;sausage_04s;bread_19s,15107,trailer_08s,trailer,0.14327162504196167,recons/experiments/diffusion_prompt/056.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of croissant, meatloaf, cookie, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
57,crow_11s,57,crow_11s,crow,crow_11s;antelope_01b;pheasant_20s;gopher_09s;rooster_03s,7523,jug_04s,jug,0.13571104407310486,recons/experiments/diffusion_prompt/057.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of crow, antelope, pheasant, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
58,cruise_ship_03s,58,cruise_ship_03s,cruise_ship,cruise_ship_03s;ferry_06s;sailboat_05s;aircraft_carrier_06s;submarine_09s,5046,ferret_07s,ferret,0.14573946595191956,recons/experiments/diffusion_prompt/058.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cruise ship, ferry, sailboat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
59,crumb_12s,59,crumb_12s,crumb,crumb_12s;creme_brulee_01b;pepper1_14s;calamari_01b;dessert_01b,4128,dashboard_09s,dashboard,0.1386364847421646,recons/experiments/diffusion_prompt/059.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of crumb, creme brulee, pepper1, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
60,cupcake_11s,63,dessert_01b,dessert,dessert_01b;scallop_02s;cupcake_11s;croissant_06s;tomato_sauce_02s,15348,trunk_09s,trunk,0.14615383744239807,recons/experiments/diffusion_prompt/060.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of dessert, scallop, cupcake, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
61,dagger_06s,61,dagger_06s,dagger,dagger_06s;spatula_08s;tongs_12s;baseball_bat_10s;slide_04s,13749,steering_wheel_10s,steering_wheel,0.13244584202766418,recons/experiments/diffusion_prompt/061.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of dagger, spatula, tongs, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
62,dalmatian_12s,62,dalmatian_12s,dalmatian,dalmatian_12s;lamb_01b;cat_01b;gorilla_18s;antelope_01b,13578,squid_09s,squid,0.1328793168067932,recons/experiments/diffusion_prompt/062.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of dalmatian, lamb, cat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
63,dessert_01b,63,dessert_01b,dessert,dessert_01b;crepe_18s;scallop_02s;calamari_01b;pie_18s,15348,trunk_09s,trunk,0.14615383744239807,recons/experiments/diffusion_prompt/063.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of dessert, crepe, scallop, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
64,dragonfly_01b,64,dragonfly_01b,dragonfly,dragonfly_01b;scallion_04s;orchid_05s;seaweed_07s;wheat_05n,14176,sweatsuit_07s,sweatsuit,0.12671925127506256,recons/experiments/diffusion_prompt/064.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of dragonfly, scallion, orchid, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
65,dreidel_01b,65,dreidel_01b,dreidel,dreidel_01b;grenade_03s;bullet_01s;lightning_bug_11s;bottle_opener_13s,746,baseball_glove_07s,baseball_glove,0.15679553151130676,recons/experiments/diffusion_prompt/065.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of dreidel, grenade, bullet, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
